Attempt,Bitstring,Circuit Depth,Gate Count,Success
28,0010100111010111010001110000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
29,1001001100110010100010100001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
30,1010110000100001101011000000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
31,0010110101000101000101101101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
32,0010010011111101111000011100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
33,0000001010110110100110101101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
34,1001111111001001001110001000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
35,1100100010000100101101000011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
36,1001110001010000000110011000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
37,0011010011101111011000100000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
38,1111111001100101011000111001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
39,0110111000010011011000010110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
40,1111001101000101110111001101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
41,1110101101011111010011111101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
42,1111001001011101011100110000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
43,0001011111111101100101111010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
44,1000011111000011111001110010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
45,1011001101101011110100001000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
46,1101010111111001011110010001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
47,1101000111111010001101001110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
48,0101110001101010100110011111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
49,0010000011101000001010111001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
50,0111000000100011010001101111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
51,0101000001001110001000010010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
52,0100110101000000000001100000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
53,0010101010001100111010100001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
54,1100101100001001011011011011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
55,0000101011011001010001101100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
56,1111011101110010000010001100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
57,0001001111100011101110010000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
58,0110110010110101001111101101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
59,0010111111100010011000011010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
60,1010010000011101101011101100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
61,1001100010110110100011001011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
62,0000110100110100101010001110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
63,1010100000111110111001100110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
64,1000110000111011001101000011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
65,0011101001111010001100110101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
66,0010001100000001001000101011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
67,0110110000010111101101111011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
68,0001100100100011100010101000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
69,0011111110101101111010111100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
70,1010101011000100100011000010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
71,0111000101000000110011111111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
72,0001000100101011111010000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
73,1110000010001101000100110101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
74,0001101111011001000000001011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
75,1101001000101101101011000000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
76,0101110110111101000101010110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
77,0010110010001000011011111110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
78,1000101100010000000000011110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
79,1111011110111011110111110110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
80,1011010010011010001000110000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
81,0100111100100100010011110111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
82,1011000101010100011001011001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
83,1001101000111010000001001111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
84,1000001010101101100000000011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
85,0000110110011101001011111110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
86,1011111011000000110111001000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
87,1001100101100111100001100010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
88,1101010011010001110111010111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
89,1111111001000001110001111110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
90,1001101100001110001010011010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
91,1100111010110001111001111100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
92,1000110000011000000010111001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
93,1100100110111000010001101111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
94,0111110111101101010001110011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
95,1100110100101100000110000110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
96,0110011000110010110100101011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
97,0000100101111001001100111010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
98,0001000011111101100011001111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
99,0110010100101110110001001000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
100,1010010010110001000001100001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
101,0100010111001000000011000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
102,0000101011111001110011110001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
103,1011110110000101110100010011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
104,0110100100011101000001001000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
105,0011101001000110000010100001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
106,0011000110100010001110000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
107,1000110101101100001101000000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
108,0100010001011011000000111001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
109,0001011111010110010011010111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
110,0011110010100101111010000000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
111,1001011111111111101101111100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
112,1011111110110101001110001001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
113,1000101010001100010111001100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
114,0110111000100001100110110100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
115,1000011110101111010111010101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
116,0101010010100100100100101010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
117,0101101101101111101001111101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
118,0100111001010000101011100010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
119,0101100000010101010100010110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
120,1100110001111101101011011100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
121,1101100110110001110000010110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
122,0101011101101001011000101100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
123,0011100101111000011110010010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
124,1001000100010011100001001100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
125,1000010111001100101100110111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
126,1111011001110111100100100011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
127,0101111101000100101011000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
128,1011101100100100011011010011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
129,1110110001101111110010000111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
130,1111010101101000011010011110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
131,0000101100001111010000111000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
132,0100010010101010000111100111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
133,1000000011001001110001111001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
134,0111101010100111111001000001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
135,1111100000100110111110110101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
136,0110110111110010000100011001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
137,1101110110101000110101000101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
138,1110110100010100111101100001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
139,1111010110110100101010001110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
140,1111001010010010110111100111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
141,1001011111010010101010001010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
142,0100010110001111110001001011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
143,1100001000000011001010101011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
144,1000001000101111000001001010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
145,0111111000101011101001010111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
146,0101001100101010010001110011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
147,1001101111111000111000111001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
148,1001000011100001101100000011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
149,1110111011101001010100110111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
150,0111000111110011000101000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
151,1000110100011010101110011000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
152,1111101010111011011111100111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
153,1011101011111101101010010110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
154,1000001001011010111100100001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
155,1011010101011110111100001011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
156,1101010110111111011010011101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
157,0111011100101110111000110011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
158,1110100110101001011000111010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
159,1000111011100110101110011110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
160,1111010101101010110111101000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
161,1000111101100010000101110110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
162,0111001010100011000101011111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
163,1110011001001011011111000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
164,1111000001010110100100001110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
165,0101111110010101001000001101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
166,0011001110011101011100011111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
167,0111100101101110010001010101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
168,0010001111110000100011110111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
169,0010000110011010110011100101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
170,0110110011011111101011100000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
171,1111110100010011110000001100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
172,0110111011110111101111010011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
173,1011000100001001010000111101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
174,0010111101100100010110010000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
175,1110000111111101100111101000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
176,1101001100010100001110100101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
177,1110000100001010011110111010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
178,0000001110010101110001011011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
179,1011111101011001101110101110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
180,0010100000110101010111011001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
181,0111011001111110101000000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
182,0110111100100010101010001000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
183,1111100010111000010110111100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
184,0110110001101001101000100100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
185,1011101101000001100001001010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
186,0100110101010010100010011100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
187,0110010000010111001101001101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
188,0001000001101001001110110100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
189,0111010000111010110110111110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
190,0100110111001110101000010111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
191,1111101001010100101100000001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
192,0111110000111111111101100010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
193,0110000011011010111011110011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
194,0111101110110001100100111110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
195,1111001000111000011110010111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
196,1110011000101110000110011011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
197,0101011011011011100000011011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
198,1111110111010011111100000111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
199,0100100001101011001101001100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
200,1111011010001101100001000000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
201,1110111010111100001000111011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
202,0110100101000010010111010011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
203,0000001001110001010010101011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
204,0001000000101101111100001001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
205,0110100001011000100110010010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
206,1010001110100110100001101101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
207,0000110011010001000001001100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
208,1000000101111100011100010101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
209,0110111101011010110101111101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
210,1000010011101110001001110000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
211,1011111000101101111111110010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
212,1010001011111101100000011101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
213,1110000010010010111011101000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
214,1110000000110011101001010100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
215,0111110100011111011101010010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
216,1001001111000101110010000111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
217,0001001011010111110011111111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
218,0100011111010001000100000101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
219,0000111010000001110100010010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
220,0001011111100011011010011010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
221,1101011011111101110100111111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
222,0010111101111100011011001101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
223,0101110101100101000110000000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
224,0000011000010010100000101010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
225,0001110001111110110000000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
226,1110101101000100101100101100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
227,0000110100111101010011000101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
228,1100101011100111110110111101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
229,0001001010000011110101101000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
230,0101001011011000011000000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
231,0001110010100001110111101011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
232,0000101011010010101010110000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
233,1111010000100000001110101110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
234,0100011001110001000001010010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
235,1101011111000110001101111101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
236,0110110000100111111001111101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
237,1010000110010000010000010010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
238,1110001011000110011000001110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
239,1100100001011110111001100100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
240,0110110011001001010011010111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
241,0100110110011100111010001011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
242,0110001011011000101001000100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
243,1000100010001011001001001111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
244,1100110001110100010000101001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
245,1100001100011010001000110010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
246,1011110110100101111001110101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
247,1001101111001111101100010110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
248,1011000100110001111001000110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
249,1011001101111001100000101100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
250,1000101110101001101011101000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
251,1101010011101110010101000010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
252,0100111000110101101100111110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
253,0010110011110100110100000110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
254,1111110001110011111111100111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
255,1000111101101011110001011110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
256,0011010101010011010110001101,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
257,1010101100001001110001100111,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
258,0011100011010100011101011010,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
259,0111010111000010100000111110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
260,0100100010000111101001010001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
261,0001000101111100011001000011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
262,0011100100101111011101000110,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
263,0100000000110100001011111000,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
264,1000011100011000011001010100,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
265,1101111001011101010110000011,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
266,1101110000011001011101110001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
267,1100000001100101011001100001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
268,1010110111000001001111101001,84,"{'u3': 29, 'barrier': 28, 'measure': 28, 'reset': 28}",False
